profile,policy_a,policy_b,metric,higher_is_better,shared_seed_count,eligible_pairs,mean_a,mean_b,mean_difference_b_minus_a,a_better,ties,b_better
time-skew,conformal-only,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
time-skew,conformal-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,conformal-only,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
time-skew,conformal-only,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
time-skew,conformal-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,conformal-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,conformal-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,conformal-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,conformal-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
time-skew,conformal-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,conformal-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,conformal-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,conformal-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,conformal-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
time-skew,lineage-only,naive-majority,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,lineage-only,naive-majority,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,lineage-only,naive-majority,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,lineage-only,naive-majority,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,lineage-only,naive-majority,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
time-skew,lineage-only,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,lineage-only,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
time-skew,lineage-only,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,lineage-only,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
time-skew,lineage-only,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
time-skew,lineage-only,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,lineage-only,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,lineage-only,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,lineage-only,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,lineage-only,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
time-skew,lineage-only,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,lineage-only,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,lineage-only,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,lineage-only,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,lineage-only,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
time-skew,naive-majority,purify-active,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,naive-majority,purify-active,safe_success,True,2,2,0.5,0.0,-0.5,1,1,0
time-skew,naive-majority,purify-active,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,naive-majority,purify-active,observation_count,False,2,2,1.0,2.0,1.0,2,0,0
time-skew,naive-majority,purify-active,path_length,False,2,2,4.785579015970363,4.707488611191598,-0.07809040477876383,1,0,1
time-skew,naive-majority,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,naive-majority,purify-passive,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,naive-majority,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,naive-majority,purify-passive,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,naive-majority,purify-passive,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
time-skew,naive-majority,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,naive-majority,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,naive-majority,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,naive-majority,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,naive-majority,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
time-skew,purify-active,purify-passive,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,purify-active,purify-passive,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
time-skew,purify-active,purify-passive,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,purify-active,purify-passive,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
time-skew,purify-active,purify-passive,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
time-skew,purify-active,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,purify-active,v3-logodds,safe_success,True,2,2,0.0,0.5,0.5,0,1,1
time-skew,purify-active,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,purify-active,v3-logodds,observation_count,False,2,2,2.0,1.0,-1.0,0,0,2
time-skew,purify-active,v3-logodds,path_length,False,2,2,4.707488611191598,4.785579015970363,0.07809040477876383,1,0,1
time-skew,purify-passive,v3-logodds,unsafe_crossing,False,2,2,0.0,0.0,0.0,0,2,0
time-skew,purify-passive,v3-logodds,safe_success,True,2,2,0.5,0.5,0.0,0,2,0
time-skew,purify-passive,v3-logodds,wrong_detour,False,2,2,0.5,0.5,0.0,0,2,0
time-skew,purify-passive,v3-logodds,observation_count,False,2,2,1.0,1.0,0.0,0,2,0
time-skew,purify-passive,v3-logodds,path_length,False,2,2,4.785579015970363,4.785579015970363,0.0,0,2,0
